Título,Abstract,Autores,DOI,Ano,Tipo_arquivo,Fonte,Status,Criterio_de_exclusao,Situacao,Descrição da aplicação,Coluna 1,,
RNAdesign,"In this review, the author, who specializes in bioinformatics, provides a comprehensive explanation of RNA design, from fundamentals to cutting-edge technologies. The review introduces RNA design methodologies, including RNA inverse folding and mRNA design, based on the relationships between RNA sequence, structure, and function. Furthermore, it details new deep learning-based methods, RaptGen and RfamGen, demonstrating efficient design approaches for RNA aptamer sequences and functional RNA family sequences. The review also discusses future perspectives, including integration with high-throughput experimental technologies, large language models, and applications of quantum computing. © 2024, Japan Society of Drug Delivery System. All rights reserved.",Hamada M.,10.2745/dds.39.333,2024,Article,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Recurrent quantum embedding neural network and its application in vulnerability detection,"In recent years, deep learning has been widely used in vulnerability detection with remarkable results. These studies often apply natural language processing (NLP) technologies due to the natural similarity between code and language. Since NLP usually consumes a lot of computing resources, its combination with quantum computing is becoming a valuable research direction. In this paper, we present a Recurrent Quantum Embedding Neural Network (RQENN) for vulnerability detection. It aims to reduce the memory consumption of classical models for vulnerability detection tasks and improve the performance of quantum natural language processing (QNLP) methods. We show that the performance of RQENN achieves the above goals. Compared with the classic model, the space complexity of each stage of its execution is exponentially reduced, and the number of parameters used and the number of bits consumed are significantly reduced. Compared with other QNLP methods, RQENN uses fewer qubit resources and achieves a 15.7% higher accuracy in vulnerability detection. © The Author(s) 2024.",Song Z.; Zhou X.; Xu J.; Ding X.; Shan Z.,10.1038/s41598-024-63021-y,2024,Article,Scopus,Aceito,,,Utiliza Quantum Natural Language Processing para detectar vulnerabilidades em sistemas.,,,
"5th EAI International Conference on Cognitive Computing and Cyber Physical Systems, IC4S 2024",The proceedings contain 102 papers. The special focus in this conference is on Cognitive Computing and Cyber Physical Systems. The topics include: Comparative Analysis Between Fuzzy Theorem and KNN Methodology for Fault and Anomaly Detection; Production Classification in E-Commerce Based on Product Descriptions with Natural Language Processing (NLP) and Machine Learning Models; defense Strategy Security Mechanism for Sensor Networks; an Efficient Approach for Food Demand Forecasting Using an Ensemble Technique and Statistical Analysis; identification of Different Medicinal Plants Using Machine Learning and Image Processing; Leveraging the Power of MRMR in Machine Learning Models for Multi Class Classification of Rice to Promote Sustainable and Efficient Smart Farming; performance Analysis of Word Recognition System Using Tensor Flow; A Distinct Artificial Feed Forward Neural Network (AF2NN) Model for Predicting Compressive Strength of Geo-Polymer Concrete; Performance Assessment of Deep Learning-Models for Kidney Tumor Segmentation using CT Images; investigation of Quantum Machine Learning for Smart Eco System Focusing on Energy Optimization; Classification of Skin Cancer Using CNN with Transformer Layer; a Unified Approach to Smart Coconut Farming with IoT and Deep Learning for Recommendation of Pesticides and Fertilizers; classifying the Severity of Diabetic Retinopathy Using Deep Learning; Exploring Prominent Convolutional Neural Network Frameworks to Identify COVID-19 Deceases by Using Medical Images; non-invasive Technique for Detecting Glycosuria Through Image Processing and Deep Learning Approaches; deep Learning Strategies for Multiclass Skin Disease Classification; AI-Driven Glaucoma Susceptibility Assessment and Lifestyle Guidance; Deep Learning in Cartoon Moderation: Distinguishing Child-Friendly Content with CNN Architectures; THz Wideband Metamaterial Absorber for Different Applications.,,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
Error Correction and Adaptation in Conversational AI: A Review of Techniques and Applications in Chatbots,"This study explores the progress of chatbot technology, focusing on the aspect of error correction to enhance these smart conversational tools. Chatbots, powered by artificial intelligence (AI), are increasingly prevalent across industries such as customer service, healthcare, e-commerce, and education. Despite their use and increasing complexity, chatbots are prone to errors like misunderstandings, inappropriate responses, and factual inaccuracies. These issues can have an impact on user satisfaction and trust. This research provides an overview of chatbots, conducts an analysis of errors they encounter, and examines different approaches to rectifying these errors. These approaches include using data-driven feedback loops, involving humans in the learning process, and adjusting through learning methods like reinforcement learning, supervised learning, unsupervised learning, semi-supervised learning, and meta-learning. Through real life examples and case studies in different fields, we explore how these strategies are implemented. Looking ahead, we explore the different challenges faced by AI-powered chatbots, including ethical considerations and biases during implementation. Furthermore, we explore the transformative potential of new technological advancements, such as explainable AI models, autonomous content generation algorithms (e.g., generative adversarial networks), and quantum computing to enhance chatbot training. Our research provides information for developers and researchers looking to improve chatbot capabilities, which can be applied in service and support industries to effectively address user requirements. © 2024 by the authors.",Izadi S.; Forouzanfar M.,10.3390/ai5020041,2024,Review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
Language Model Optimization Based on Quantum Machine Learning for Long Chinese Text Processing,"Chinese language presents unique challenges in text processing due to its complex structure, including high inter-lexical dependence, flexible word order, and rich contextual expressions. These characteristics make it particularly difficult for large models to effectively handle long Chinese texts using traditional machine learning (ML) algorithms. This paper explores the application of Quantum Machine Learning (QML) as a solution to enhance the performance of large language models (LLMs) in processing long Chinese texts. By leveraging the inherent advantages of QML, such as higher processing efficiency and deeper semantic understanding, this research demonstrates through experimental comparisons that QML models significantly outperform traditional ML models in both speed and comprehension accuracy. The paper systematically introduces text processing methods using both traditional ML and QML, and presents a simplified QML model designed to enhance text processing capabilities. The findings underscore the potential of QML in optimizing the future performance of LLMs, particularly for languages with complex linguistic structures like Chinese. This research holds significant implications for advancing LLM technologies in text-heavy applications.  © 2024 IEEE.",Wang T.,10.1109/ICRSS65752.2024.00054,2024,Conference paper,Scopus,Aceito,,,Aplica QNLP e QML para melhorar a compreensão do idioma chinês,,,
Entangled Meanings: Classification and Ambiguity Resolution in Near-Term QNLP,"We demonstrate two tasks in Quantum Natural Language Processing (QNLP): classification and disambiguation. For the classification task, we utilized an amplitude encoding algorithm and achieved perfect accuracy on the standard lambeq dataset, which is commonly used for benchmarking in quantum NLP. Additionally, we obtained accuracy from 55% to 72.5 % on a more complex and realistic Amazon review dataset, which is still a reasonable result, given the current capability of quantum computing and QNLP. Additionally, we found that UMAP is the best dimension reduction method in our experiment setting. All classification results were done on the default. qubit simulator in pennylane 0.36 python library. Our classification results highlight the potential of quantum algorithms in practical applications. For the disambiguation task, we selected 18 ambiguous nouns, 32 unambiguous nouns, and 18 different verbs. Our experiments using the QASM simulator within the qiskit Python library demonstrated that the simulator could perfectly differentiate between the various meanings of ambiguous nouns in different contexts, achieving perfect differentiation. Furthermore, we extended our study to a real quantum device, the ibm-kyoto quantum computer. There, we tested our disambiguation approach on a subset of 4 random nouns (two ambiguous and two unambiguous) and observed that ibm-kyoto could achieve an accuracy range of 82.1 % to 98.9% in disambiguation tasks, extending the datasets and improving the results of existing ambiguity resolution experiments [1]. Our work demonstrates the capability of quantum computing in dealing with real-world NLP tasks, hence contributing to the advancement of both QML and NLP. © 2024 IEEE.",Zhang C.; Kumari A.; Cavar D.,10.1109/QCE60285.2024.10355,2024,Conference paper,Scopus,Rejeitado,Duplicado,,,,,
Quantum self-attention neural networks for text classification,"An emerging direction of quantum computing is to establish meaningful quantum applications in various fields of artificial intelligence, including natural language processing (NLP). Although some efforts based on syntactic analysis have opened the door to research in quantum NLP (QNLP), limitations such as heavy syntactic preprocessing and syntax-dependent network architecture make them impracticable on larger and real-world data sets. In this paper, we propose a new simple network architecture, called the quantum self-attention neural network (QSANN), which can compensate for these limitations. Specifically, we introduce the self-attention mechanism into quantum neural networks and then utilize a Gaussian projected quantum self-attention serving as a sensible quantum version of self-attention. As a result, QSANN is effective and scalable on larger data sets and has the desirable property of being implementable on near-term quantum devices. In particular, our QSANN outperforms the best existing QNLP model based on syntactic analysis as well as a simple classical self-attention neural network in numerical experiments of text classification tasks on public data sets. We further show that our method exhibits robustness to low-level quantum noises and showcases resilience to quantum neural network architectures. © Science China Press 2024.",Li G.; Zhao X.; Wang X.,10.1007/s11432-023-3879-7,2024,Article,Scopus,Aceito,,,"Propõe o chhamado Quantum Self Atention Neural Network, que promete melhorar as representações quânticas que antes eram sintáticas.",,,
A comprehensive taxonomy of machine consciousness,"Machine consciousness (MC) is the ultimate challenge to artificial intelligence. Although great progress has been made in artificial intelligence and robotics, consciousness is still an enigma and machines are far from having it. To clarify the concepts of consciousness and the research directions of machine consciousness, in this review, a comprehensive taxonomy for machine consciousness is proposed, categorizing it into seven types: MC-Perception, MC-Cognition, MC-Behavior, MC-Mechanism, MC-Self, MC-Qualia and MC-Test, where the first six types aim to achieve a certain kind of conscious ability, and the last type aims to provide evaluation methods and criteria for machine consciousness. For each type, the specific research contents and future developments are discussed in detail. Especially, the machine implementations of three influential consciousness theories, i.e. global workspace theory, integrated information theory and higher-order theory, are elaborated in depth. Moreover, the challenges and outlook of machine consciousness are analyzed in detail from both theoretical and technical perspectives, with emphasis on new methods and technologies that have the potential to realize machine consciousness, such as brain-inspired computing, quantum computing and hybrid intelligence. The ethical implications of machine consciousness are also discussed. Finally, a comprehensive implementation framework of machine consciousness is provided, integrating five suggested research perspectives: consciousness theories, computational methods, cognitive architectures, experimental systems, and test platforms, paving the way for the future developments of machine consciousness. © 2025 Elsevier B.V.",Qin R.; Zhou C.; He M.,10.1016/j.inffus.2025.102994,2025,Article,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Encoding Genetic and Structural Information in DNA Using Electric Field Gradients and Nuclear Spins,"Nuclear electric resonance (NER) offers a method of controlling nuclear spins using electric field gradients (EFGs), which is a critical concept in quantum computing. In this study, we focus on nitrogen atoms in DNA, which have a nuclear spin of 1 and are influenced by EFGs. Utilizing molecular dynamics simulations, quantum chemical computations, and theoretical analyses, we studied the characteristics of EFGs in the context of DNA. Our results show that the orientation patterns of the EFGs at the positions of nitrogen atoms in DNA bases vary with different types of bases and nitrogen atom sites. Consequently, the genetic and structural information of DNA is encoded into the direction of the nitrogen nuclear spins. Furthermore, the interaction and evolution of these nitrogen nuclear spins with surrounding nuclear spins suggest the potential for quantum computing of genetic information. Our findings not only provide new insights into quantum phenomena in biological systems but also lay the groundwork for expanding the theoretical foundations of DNA quantum computing and offer innovative approaches for the design of future biocompatible quantum computers. © 2024 Yu Zheng and Quansheng Ren.",Zheng Y.; Ren Q.,10.34133/icomputing.0094,2024,Article,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
A Quantum Annealing Instance Selection Approach for Efficient and Effective Transformer Fine-Tuning,"Deep Learning approaches have become pervasive in recent years due to their ability to solve complex tasks. However, these models need huge datasets for proper training and good generalization. This translates into high training and fine-tuning time, even several days for the most complex models and large datasets. In this work, we present a novel quantum Instance Selection (IS) approach that allows to significantly reduce the size of the training datasets (by up to 28%) while maintaining the model's effectiveness, thus promoting (training) speedups and scalability. Our solution is innovative in the sense that it exploits a different computing paradigm - Quantum Annealing (QA) - a specific Quantum Computing paradigm that can be used to tackle optimization problems. To the best of our knowledge, there have been no prior attempts to tackle the IS problem using QA. Furthermore, we propose a new Quadratic Unconstrained Binary Optimization formulation specific for the IS problem, which is a contribution in itself. Through an extensive set of experiments with several Text Classification benchmarks, we empirically demonstrate our quantum solution's feasibility and competitiveness with the current state-of-the-art IS solutions. © 2024 Owner/Author.",Pasin A.; Cunha W.; Gonçalves M.A.; Ferro N.,10.1145/3664190.3672515,2024,Conference paper,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Ideal Parametrisation Estimation for Variational Quantum Circuit Classifiers Using Machine Learning,"Quantum neural network implementation through variational quantum circuits is getting attention due to their applicability to the existing quantum computer technology and significant model parameters reduction. This paper considers the problem of automatically transforming existing neural networks into corresponding variational quantum circuits. In particular, given a trained neural network, the paper considers estimating the number of ansatz layers so that the corresponding circuit is not over or under-parametrized. This is achieved by constructing a dataset containing many trained neural networks each labelled with the corresponding optimal number of variational quantum layers, obtained through experimentation. The paper further performs dataset augmentation using an LLM model to speed up dataset construction. The paper then selects a set of features based on both the network architecture and the trained parameters, and then trains a feed-forward neural network. The trained network achieves 86.7% accuracy on unseen unaugmented test circuits. © 2024 IEEE.",Fathi M.; Gomaa W.; Wada Y.; Kimura K.; Ueda K.; El-Mahdy A.,10.1109/QCE60285.2024.10263,2024,Conference paper,Scopus,Aceito,,,"Cria um dataset para parametrização de numero de camadas para que um circuito quantico nao seja subparametrizado ou excessivamente parametrizado, usa um LLM para fazer data augmentation.",,,
An Analysis of the State of Art of the Metaverse and Its Disruptive Impact on Services,"The metaverse is a virtual environment where individuals may connect with one another, partake in a variety of activities, and access digital content. It coexists with the real world and it has the potential to significantly affect daily life as well as a variety of services and applications as it develops. To understand the importance of the impacts of the metaverse in today’s society, just think of the disruptive technologies that enable it: Artificial Intelligence (AI), Extended Reality (ER), IoT, Digital Twin (DT) and Blockchain/NFT all with assistance with the availability of large, rich and structured/unstructured dataset and advanced computational models. Metaverse is cadidated (and not only) to redefine everyday life, designing activities and services/products provisioning towards increasing efficiencies, money saving and quality performance, with a big impact in everyone and helping the design and testing of next generation of internet. However, there still remain not only technical and interoperability issues but above all ethical, human, social, and cultural concerns as to the metaverse’s influence upon its prospective scope in reconstructing the quality of urban life. This paper undertakes an upper-level scientific literature review of the area of the metaverse from a broader perspective. Further, it maps the some services and the relative requirements for declinate the enabling technologies of the metaverse, and explores their contributions. © 2024 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Cigliano A.; Fallucchi F.; Gerardi M.,,2024,Conference paper,Scopus,Rejeitado,Doi Indisponível,,,,,
"5th EAI International Conference on Cognitive Computing and Cyber Physical Systems, IC4S 2024",The proceedings contain 102 papers. The special focus in this conference is on Cognitive Computing and Cyber Physical Systems. The topics include: Comparative Analysis Between Fuzzy Theorem and KNN Methodology for Fault and Anomaly Detection; Production Classification in E-Commerce Based on Product Descriptions with Natural Language Processing (NLP) and Machine Learning Models; defense Strategy Security Mechanism for Sensor Networks; an Efficient Approach for Food Demand Forecasting Using an Ensemble Technique and Statistical Analysis; identification of Different Medicinal Plants Using Machine Learning and Image Processing; Leveraging the Power of MRMR in Machine Learning Models for Multi Class Classification of Rice to Promote Sustainable and Efficient Smart Farming; performance Analysis of Word Recognition System Using Tensor Flow; A Distinct Artificial Feed Forward Neural Network (AF2NN) Model for Predicting Compressive Strength of Geo-Polymer Concrete; Performance Assessment of Deep Learning-Models for Kidney Tumor Segmentation using CT Images; investigation of Quantum Machine Learning for Smart Eco System Focusing on Energy Optimization; Classification of Skin Cancer Using CNN with Transformer Layer; a Unified Approach to Smart Coconut Farming with IoT and Deep Learning for Recommendation of Pesticides and Fertilizers; classifying the Severity of Diabetic Retinopathy Using Deep Learning; Exploring Prominent Convolutional Neural Network Frameworks to Identify COVID-19 Deceases by Using Medical Images; non-invasive Technique for Detecting Glycosuria Through Image Processing and Deep Learning Approaches; deep Learning Strategies for Multiclass Skin Disease Classification; AI-Driven Glaucoma Susceptibility Assessment and Lifestyle Guidance; Deep Learning in Cartoon Moderation: Distinguishing Child-Friendly Content with CNN Architectures; THz Wideband Metamaterial Absorber for Different Applications.,,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
"5th Doctoral Symposium on Computational Intelligence, DoSCI 2024",The proceedings contain 47 papers. The special focus in this conference is on Computational Intelligence. The topics include: Integrative Deep Learning for Diabetic Retinopathy and Glaucoma Detection in Ocular Images; toxicity Detection and Classification in Arabic Text; neuroCogNet: Advanced Computational Intelligence for Neurological Diagnosis; machine Learning-Based Comprehensive Framework for Stock Prediction; mild Cognitive Impairment Conversion Prediction; modeling Scalable Lab Environment for Academia Through Kubernetes Cluster; enhancing Suspect Identification: Automated Composite Sketch Generation and Recognition; human Activity Recognition Using Federated Transfer Learning; a Critical Assessment of Task Scheduling Algorithms in Cloud Computing: A Comparative Approach; enhancing Sarcasm Detection Using Deep Learning; From Bugs to Hugs: Decoding LLMs Tools and Extensions for Constrained Coding; EnviroWatch: A Comprehensive Environmental Monitoring Web Frame and Cleanup Coordination System Using CNN; multi-level Security Threats Projection in Edge Computing; a Comparative Analysis of Deep Learning Models for Wildlife Prediction; A BERT-BiLSTM Approach for Socio-political News Detection; yolov8-Based Early Detection Model for Lame Broilers; enhancing the Diagnosis of Liver Disease: Combining Machine Learning with the Indian Liver Patient Dataset; navigating Cloud Security: Developing Privacy-Aware Architectures for Service Industry Data Protection; stability of Accumulation of Granular Columns Based on Chaos Optimization Algorithm; a Comparative Study of Computational Algorithms for Finding Motif in the Genome of Viruses; quantum Computing Error Mitigation Advance in Real-Time Quantum Computer with Novel Quantum Using Superposition and Entanglement of Qubits; Sound Secret Audio Crypt—LSB-Based Audio Steganography Using RSA; DAMPSO: Dynamic Accelerated Memory-Based PSO for Hyperparameter Tuning of Plant Disease Classifiers; startup Success Prediction Using Machine Learning; OncoScan3D: Lung Tumor Detection with ResUNet.,,,2025,Conference review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
"AI-driven fusion with cybersecurity: Exploring current trends, advanced techniques, future directions, and policy implications for evolving paradigms– A comprehensive review","The fusion of Artificial Intelligence (AI) into cybersecurity has brought transformative advancements in protecting digital infrastructures from evolving cyber threats. This comprehensive review explores current AI-driven cybersecurity methodologies, emphasizing the capabilities of AI technologies — such as machine learning, deep learning, and natural language processing (NLP) — to enhance threat detection, behavioral analysis, automated response systems, and threat intelligence. The paper discusses AI's ability to identify advanced persistent threats, zero-day vulnerabilities, and phishing attacks with improved accuracy and adaptability. Additionally, we examine emerging trends such as AI's fusion with blockchain, the application of quantum computing, and the increasing role of self-healing systems in enhancing cybersecurity resilience. Challenges such as adversarial attacks, ethical concerns, and data privacy issues are critically analyzed, along with AI's future potential in real-time threat management and its implications for policy and organizational frameworks. By summarizing recent advancements and identifying gaps in existing solutions, this review sets the stage for future AI-enhanced cybersecurity developments, offering insights into how AI can lead to more proactive and adaptive security strategies. © 2024",Ali S.; Wang J.; Leung V.C.M.,10.1016/j.inffus.2024.102922,2025,Article,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Large scale structure-aware pronoun resolution using quantum natural language processing,"Natural language consists of words, sentences, and larger units. Guided by grammatical structure, words compose with each other to form sentences. Similarly, guided by discourse structure, sentences compose with each other to form dialogues and documents. Classical machine learning algorithms have achieved significant success in learning the meanings of words. When it comes to meanings of sentences and discourse units, they however fall short of being compositional. The DisCoCat model of meaning, introduced by Clark, Coecke, and Sadrzadeh in 2010, provides a solution—at the sentence level—using higher-order tensors, the learning of which has been a challenge. A recent initiative known as Quantum Natural Language Processing (QNLP) introduces a translation between the DisCoCat tensors and Variational Quantum Circuits (VQC). This offers the potential of learning these higher-order tensors more efficiently when the circuits are executed on quantum computers. In previous work, we lifted the DisCoCat framework from the sentence level to the discourse level using a Fock space semantics. In this paper, we extend the DisCoCat-VQC translation to this semantics and experiment with it in a discourse task. We develop a massive dataset with 16,400 entries inspired by a major coreference resolution task, known as the Winograd Schema Challenge, proposed as a test of machine intelligence. Noisy and noiseless simulations were executed on IBMQ software, and the parameters of the discourse VQCs were learnt. The model converged to 77.5% accuracy, surpassing a Bag-of-Words model that neglects any structure. It also outperformed 2 out of 3 state-of-the-art classical coreference resolution architectures. These findings highlight the significant potential of quantum machine learning in advancing discourse analysis and structured natural language processing. © The Author(s) 2024.",Wazni H.; Lo K.I.; McPheat L.; Sadrzadeh M.,10.1007/s42484-024-00193-w,2024,Article,Scopus,Aceito,,,"Apresenta o modelo discocat, que é um modelo de significado baseado em linguística, o mesmo aprimora o aprendizado de tensores de ordem superior de forma mais eficiente, usando computação quântica.",,,
Applying Variational Quantum Classifier on Acceptability Judgements: A QNLP Experiment,"The newborn Quantum Natural Language Processing (QNLP) field has experienced tremendous growth in recent years. The possibility of applying quantum mechanics to critical aspects of language processing has dramatically impacted many tasks, ranging from theoretical approaches to algorithms implemented on real quantum hardware. From a methodological point of view, the possibility offered by applying quantum mechanics to NLP problems is well suited to classification tasks. This work aims to test the potential computational advantages of a hybrid algorithm, namely the Variational Quantum Classifier (VQC), to perform classification on a classical Linguistics task: acceptability judgments. VQC is a quantum machine learning algorithm able to infer the relations between input features and the associated belonging class using a parametrized quantum circuit and an encoding layer that embeds classical data into quantum states. An acceptability judgment is defined as the ability to determine whether a sentence is considered as natural and well-formed by a native speaker. The approach has been tested on sentences extracted from ItaCoLa, a corpus that collects Italian sentences labeled with their acceptability judgment. The evaluation phase has considered quantitative metrics and qualitative analysis to investigate further the algorithm’s behavior on specific linguistic phenomena included in the corpus. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Guarasci R.; Buonaiuto G.; De Pietro G.; Esposito M.,10.1007/978-3-031-81247-7_8,2025,Conference paper,Scopus,Rejeitado,Data de publicação fora do intervalo,,"Usa QNLP aplicado ao problema de julgamento de aceitabilidade, em que uma sentença é dita como bem construída ou não por nativos. ",,,
Quantum space-efficient large language models for Prolog query translation,"As large language models (LLMs) continue to expand in complexity, their size follows an exponential increase following Moore’s law. However, implementing such complex tasks with LLMs poses a significant challenge, as classical computers may lack the necessary space to run or store the model parameters. In this context leveraging the principles of hybrid quantum machine learning for language models offers a promising solution to mitigate this issue by reducing storage space for model parameters. Although pure quantum language models have demonstrated success in recent past, they are constrained by limited features and availability. In this research we propose the DeepKet model an approach with a quantum embedding layer, which utilizes the Hilbert space generated by quantum entanglement to store feature vectors, leading to a significant reduction in size. The experimental analysis evaluates the performance of open-source pre-trained models like Microsoft Phi and CodeGen, specifically fine-tuned for generating Prolog code for geo-spatial data retrieval. Furthermore, it investigates the effectiveness of quantum DeepKet embedding layers by comparing them with the total parameter count of traditional models. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Ahmed R.; Sridevi S.,10.1007/s11128-024-04559-8,2024,Article,Scopus,Aceito,,,"Introduz o modelo chamado Deepket, uma solução para executar reduzir o espaço de armazenamento necessário para parâmetros de LLMs, usando uma camada quantum embedding.",,,
Quantum transfer learning for acceptability judgements,"Hybrid quantum-classical classifiers promise to positively impact critical aspects of natural language processing tasks, particularly classification-related ones. Among the possibilities currently investigated, quantum transfer learning, i.e., using a quantum circuit for fine-tuning pre-trained classical models for a specific task, is attracting significant attention as a potential platform for proving quantum advantage. This work shows potential advantages, in terms of both performance and expressiveness, of quantum transfer learning algorithms trained on embedding vectors extracted from a large language model to perform classification on a classical linguistics task—acceptability judgements. Acceptability judgement is the ability to determine whether a sentence is considered natural and well-formed by a native speaker. The approach has been tested on sentences extracted from ItaCoLa, a corpus that collects Italian sentences labeled with their acceptability judgement. The evaluation phase shows results for the quantum transfer learning pipeline comparable to state-of-the-art classical transfer learning algorithms, proving current quantum computers’ capabilities to tackle NLP tasks for ready-to-use applications. Furthermore, a qualitative linguistic analysis, aided by explainable AI methods, reveals the capabilities of quantum transfer learning algorithms to correctly classify complex and more structured sentences, compared to their classical counterpart. This finding sets the ground for a quantifiable quantum advantage in NLP in the near future. © The Author(s) 2024.",Buonaiuto G.; Guarasci R.; Minutolo A.; De Pietro G.; Esposito M.,10.1007/s42484-024-00141-8,2024,Review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
Enhanced quantum long short-term memory by using bidirectional ring variational quantum circuit,"With the rapid development of quantum machine learning, the Quantum Long Short-Term Memory (QLSTM) has been found to exhibit faster convergence characteristics in time series prediction problems. Currently, it has found applications in fields such as financial market analysis, natural language processing, and weather forecasting, but its accuracy in regression problem prediction still shows deficiencies. To improve the prediction accuracy of the model, enhanced quantum long short-term memory by using bidirectional ring variational quantum circuit (EQLSTM) is proposed. We reconsidered and optimized the types, quantities, and arrangements of quantum gates, designing a bidirectional ring variational quantum circuit composed of CRX gates (Bi-VQC) to enhance its expressibility. Bi-VQC can more accurately describe and encode complex quantum state features, enabling the EQLSTM to better learn and represent the characteristics of the input data. In addition, Bi-VQC reduces the number of optimizable parameters and lowers the circuit load of the EQLSTM model. To validate the effectiveness of the proposed model, experiments are conducted to test and evaluate the EQLSTM using the aggregated traffic in the UK academic network backbone. The experimental results confirm that the proposed EQLSTM model improves from 90.56% to 97.57% compared to the QLSTM model. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Qi H.; Lv X.; Gong C.; Gani A.,10.1007/s11227-024-06636-2,2025,Article,Scopus,Rejeitado,Data de publicação fora do intervalo,,"Propôe a EQLSTM, que tem como objetivo melhorar a precisão em problemas de regressão.",,,
Training Quantum Self-Attention Model in Near-Term Quantum Computer,"Quantum computing is rapidly emerging as a revolutionary computing paradigm with significant development potential. Variational quantum algorithms, especially those employing variational quantum circuits, have demonstrated notable advantages in domains including finance, chemistry, and machine learning. However, the practical deployment of these algorithms on Noisy Intermediate-Scale Quantum (NISQ) devices faces challenges due to quantum noise, state collapse, and limited qubits numbers. The real-world performance of these algorithms remains largely unexplored. This paper addresses this gap by proposing and implementing a novel method for training quantum self-attention model for text classification directly on quantum computing chips. This initiative marks the first instance of employing such models on actual quantum hardware. Our approach optimizes quantum circuit designs to mitigate the impact of quantum noise and introduces parallel training strategies to enhance efficiency. Our experiments, conducted on the 'Wukong' superconducting 72-qubit quantum computer, demonstrate that our models can be effectively trained on real quantum hardware. The results from the actual quantum chips slightly outperformed those from simulators, confirming the practical feasibility of applying quantum self-attention model to natural language processing tasks. These results validate the effectiveness of our approach and provide valuable insights for the future deployment of quantum machine learning models.  © 2024 IEEE.",He J.; Kan Y.; Xue C.,10.1109/WCSP62071.2024.10827420,2024,Conference paper,Scopus,Aceito,,,Propõe modelos de auto-atenção quântica para melhorar o desempenho de modelos de classificação de texto,,,
CipherCraft: An Integrated Approach to Cryptographic Data Security in Modern Computing Environments,"This research study conducts an in-depth examination of the relationship between soft computing and the complex world of encryption and decryption, integrating a wide range of Cryptographic algorithms and various cryptographic concepts. The study broadens its scope to include chapters devoted to combinatorics and beyond, providing profound insights into the synthesis of mathematical ideas, intricate formulas, elaborate flowcharts, and sophisticated algorithms. In today’s data security world, the study focuses on addressing complicated challenges and encouraging developments in developing domains, including quantum computing, cryptology, artificial intelligence, natural language processing, machine learning, automata theory, computer networks, information management systems, data structures, and algorithms. This broad investigation highlights soft computing’s adaptability and versatility in addressing the various difficulties that plague modern data security. A key aspect of this study is devoted to the delicate art of cryptographic key management, emphasizing the production and secure handling of cryptographic keys, which is a crucial focal point in data security and privacy. It is the keystone that permits secure data encryption and decryption, representing one of the most crucial components of the research. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Rai D.; Ahmad T.; Talan A.; Reddy B.R.P.; Gola V.,10.1007/978-3-031-81336-8_25,2025,Conference paper,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Case Study 2: Mapping between an E-Voting Curriculum and the DHS/NSA CAE Knowledge Units,"To become a DHS/NSA Center of Academic Excellence in Cyber Defense (CAE-CD), academic institutions must satisfy several specific Knowledge Units (KUs). How they achieve this is up to the institutions. In this case study, we follow the methodology of an earlier work to demonstrate how key parts of an electronic voting (E-voting)-oriented cybersecurity curriculum, proposed by Hostler et al. [4] in 2021, maps into the DHS/NSA KUs supporting the CAE-CD designation, from two aspects: E-voting principle based topics, i.e., from theory and a plug-and-play e-voting system’s composing components, i.e., from practice. We grouped CAE-CD KUs into those required as prerequisites, closely related, related/supported, and not covered by the E-voting curriculum. Teachers can then choose which KUs they will use and teach using only the parts of the E-voting-oriented curriculum they deem relevant, and in a depth they find appropriate to their educational objectives, while meeting the requirements of the selected KUs. We conclude with a discussion of how LLMs (Large Language Models) and quantum computing might be added to the E-voting-oriented curriculum. © 2025 Copyright held by the owner/author(s).",Sanchez E.A.; Zheng M.; Bishop M.; Zou X.,10.1145/3641554.3701960,2025,Conference paper,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
